train_label, mse, rmse, mae, r2
LinearRegression_0,8.39682,2.89773,1.99678,0.91568
LinearRegression_1,9.10004,3.01663,2.06516,0.89873
LinearRegression_2,10.35405,3.21777,2.32417,0.89407
LinearRegression_3,7.65334,2.76647,1.98050,0.91287
LinearRegression_4,9.21600,3.03579,2.18013,0.90142
LinearRegression_5,9.17167,3.02848,2.06518,0.90885
LinearRegression_6,9.69145,3.11311,2.17855,0.89476
LinearRegression_7,8.86290,2.97706,2.05383,0.90477
LinearRegression_8,9.11509,3.01912,2.10351,0.90474
LinearRegression_9,7.32770,2.70697,1.90384,0.92445
SVR_0,28.69320,5.35660,4.07488,0.71446
SVR_1,22.05667,4.69645,3.32707,0.75607
SVR_2,33.28057,5.76893,3.97227,0.66188
SVR_3,22.31727,4.72412,3.44451,0.75126
SVR_4,29.16703,5.40065,3.93092,0.68986
SVR_5,30.95757,5.56395,4.05724,0.69464
SVR_6,26.66713,5.16402,3.51150,0.71235
SVR_7,30.29825,5.50438,3.85725,0.67885
SVR_8,26.82955,5.17972,3.77877,0.72084
SVR_9,26.33314,5.13158,3.77750,0.73295
GaussianProcessRegressor_0,1.72186,1.31220,0.65121,0.98163
GaussianProcessRegressor_1,1.36890,1.17000,0.67444,0.98450
GaussianProcessRegressor_2,1.14807,1.07148,0.60545,0.98811
GaussianProcessRegressor_3,3.06764,1.75147,0.85690,0.96509
GaussianProcessRegressor_4,0.89347,0.94523,0.53516,0.99027
GaussianProcessRegressor_5,1.44741,1.20308,0.66739,0.98547
GaussianProcessRegressor_6,1.28045,1.13157,0.60604,0.98585
GaussianProcessRegressor_7,0.69487,0.83359,0.48268,0.99234
GaussianProcessRegressor_8,1.70863,1.30715,0.71176,0.98189
GaussianProcessRegressor_9,0.87963,0.93788,0.59810,0.99044
MLPRegressor_0,14.92558,3.86336,2.96673,0.85046
MLPRegressor_1,27.34094,5.22886,3.79041,0.69628
MLPRegressor_2,23.44384,4.84188,3.61514,0.75963
MLPRegressor_3,22.53097,4.74668,3.70523,0.74433
MLPRegressor_4,19.56903,4.42369,3.40665,0.79301
MLPRegressor_5,16.63269,4.07832,3.16601,0.83545
MLPRegressor_6,26.24881,5.12336,4.02617,0.71656
MLPRegressor_7,26.06036,5.10494,3.98697,0.72246
MLPRegressor_8,20.86404,4.56772,3.57773,0.78217
MLPRegressor_9,24.26368,4.92582,3.68559,0.75796
RandomForestRegressor_0,1.68342,1.29747,0.70888,0.98152
RandomForestRegressor_1,1.37333,1.17189,0.60149,0.98423
RandomForestRegressor_2,1.57169,1.25367,0.64844,0.98308
RandomForestRegressor_3,1.57570,1.25527,0.65110,0.98089
RandomForestRegressor_4,1.93460,1.39090,0.76556,0.97857
RandomForestRegressor_5,1.52275,1.23400,0.66104,0.98389
RandomForestRegressor_6,2.04037,1.42842,0.69445,0.97724
RandomForestRegressor_7,1.76082,1.32696,0.63272,0.98011
RandomForestRegressor_8,1.36511,1.16838,0.64051,0.98538
RandomForestRegressor_9,1.31301,1.14587,0.59352,0.98528
,,,,
train_label, mse_mean, rmse_mean, mae_mean, r2_mean
LinearRegression,8.88891,2.97791,2.08517,0.90604
SVR,27.66004,5.24904,3.77319,0.71131
GaussianProcessRegressor,1.42109,1.16637,0.63891,0.98456
MLPRegressor,22.18799,4.69046,3.59266,0.76583
RandomForestRegressor,1.61408,1.26728,0.65977,0.98202
,,,,
train_label, mse_std, rmse_std, mae_std, r2_std
LinearRegression,0.85324,0.14473,0.11341,0.00914
SVR,3.40796,0.32802,0.24877,0.02899
GaussianProcessRegressor,0.63882,0.24634,0.09700,0.00733
MLPRegressor,3.95294,0.43308,0.31827,0.04767
RandomForestRegressor,0.23087,0.08988,0.04889,0.00267
