train_label, mse, rmse, mae, r2
LinearRegression_0,10.44699,3.23218,2.32199,0.90065
LinearRegression_1,10.67560,3.26735,2.36638,0.88596
LinearRegression_2,8.40340,2.89886,2.04001,0.90339
LinearRegression_3,8.86362,2.97718,2.04913,0.91330
LinearRegression_4,11.14309,3.33813,2.34631,0.89524
LinearRegression_5,9.51702,3.08497,2.18531,0.89275
LinearRegression_6,10.22125,3.19707,2.27054,0.89558
LinearRegression_7,12.30454,3.50778,2.45476,0.88221
LinearRegression_8,9.97010,3.15755,2.20621,0.89527
LinearRegression_9,8.62483,2.93681,2.11140,0.90468
LinearRegression_10,10.89675,3.30102,2.35692,0.88764
LinearRegression_11,7.48793,2.73641,1.92110,0.91620
LinearRegression_12,9.63002,3.10323,2.17998,0.89652
LinearRegression_13,8.78579,2.96408,2.09303,0.90783
LinearRegression_14,7.32208,2.70593,1.97223,0.91646
LinearRegression_15,9.93094,3.15134,2.27958,0.89435
LinearRegression_16,8.74760,2.95763,2.08531,0.91145
LinearRegression_17,10.25999,3.20312,2.27068,0.88536
LinearRegression_18,8.54821,2.92373,2.02736,0.89850
LinearRegression_19,10.00452,3.16299,2.21814,0.89196
LinearRegression_20,7.76027,2.78573,2.00411,0.91695
LinearRegression_21,9.12215,3.02029,2.14353,0.90683
LinearRegression_22,9.09093,3.01512,2.19520,0.90830
LinearRegression_23,11.24382,3.35318,2.35837,0.88484
LinearRegression_24,10.59688,3.25528,2.36073,0.88879
LinearRegression_25,9.05903,3.00982,2.05535,0.91187
LinearRegression_26,10.02326,3.16595,2.24028,0.89804
LinearRegression_27,9.43928,3.07234,2.19645,0.90051
LinearRegression_28,8.96310,2.99384,2.11337,0.90513
LinearRegression_29,9.42155,3.06945,2.28418,0.89386
LinearRegression_30,10.27865,3.20603,2.35287,0.88671
LinearRegression_31,9.04615,3.00768,2.09272,0.90738
LinearRegression_32,7.43496,2.72671,1.95746,0.92088
LinearRegression_33,10.50576,3.24126,2.34145,0.87388
LinearRegression_34,6.79147,2.60604,1.92596,0.92252
LinearRegression_35,10.42408,3.22863,2.22773,0.90189
LinearRegression_36,8.81360,2.96877,2.11828,0.89401
LinearRegression_37,10.50175,3.24064,2.23098,0.90181
LinearRegression_38,10.10455,3.17877,2.28518,0.89134
LinearRegression_39,8.13348,2.85193,1.98684,0.91744
LinearRegression_40,8.25315,2.87283,2.07079,0.91052
LinearRegression_41,9.90734,3.14759,2.19147,0.89594
LinearRegression_42,8.46733,2.90987,2.05901,0.91458
LinearRegression_43,9.34967,3.05772,2.17899,0.89696
LinearRegression_44,8.32283,2.88493,1.98621,0.92191
LinearRegression_45,10.10289,3.17850,2.19116,0.89609
LinearRegression_46,11.34729,3.36857,2.34403,0.88157
LinearRegression_47,10.99242,3.31548,2.35658,0.89111
LinearRegression_48,10.14121,3.18453,2.20856,0.88974
LinearRegression_49,10.50902,3.24176,2.27267,0.89760
LinearRegression_50,11.61242,3.40770,2.47001,0.85863
LinearRegression_51,9.84480,3.13764,2.24197,0.89318
LinearRegression_52,9.02468,3.00411,2.11473,0.90594
LinearRegression_53,12.20041,3.49291,2.41302,0.88044
LinearRegression_54,11.53047,3.39565,2.41033,0.87220
LinearRegression_55,8.90906,2.98480,2.13575,0.90502
LinearRegression_56,10.15046,3.18598,2.25991,0.88817
LinearRegression_57,9.87439,3.14235,2.23963,0.90043
LinearRegression_58,7.50884,2.74023,1.92165,0.91991
LinearRegression_59,9.86809,3.14135,2.14748,0.90655
LinearRegression_60,10.49209,3.23915,2.21810,0.90001
LinearRegression_61,7.74880,2.78367,1.90839,0.91943
LinearRegression_62,9.21403,3.03546,2.12476,0.90033
LinearRegression_63,7.92688,2.81547,1.98204,0.91561
LinearRegression_64,11.74093,3.42650,2.43812,0.87505
LinearRegression_65,8.15641,2.85594,2.01417,0.91472
LinearRegression_66,9.63479,3.10400,2.23515,0.89006
LinearRegression_67,9.05163,3.00859,2.12349,0.90475
LinearRegression_68,11.16710,3.34172,2.33378,0.89212
LinearRegression_69,9.30655,3.05066,2.08800,0.91604
LinearRegression_70,9.53872,3.08848,2.19823,0.89273
LinearRegression_71,9.48605,3.07994,2.18817,0.88964
LinearRegression_72,9.59168,3.09704,2.18277,0.90701
LinearRegression_73,9.16303,3.02705,2.12991,0.90733
LinearRegression_74,9.73521,3.12013,2.20249,0.89973
LinearRegression_75,7.43246,2.72625,1.86167,0.91669
LinearRegression_76,8.93456,2.98907,2.17507,0.90332
LinearRegression_77,11.11451,3.33384,2.38115,0.88188
LinearRegression_78,8.69037,2.94794,2.05412,0.90738
LinearRegression_79,10.67700,3.26757,2.36535,0.88056
LinearRegression_80,10.00474,3.16303,2.20084,0.90893
LinearRegression_81,10.84751,3.29356,2.27063,0.89172
LinearRegression_82,8.52959,2.92055,2.02868,0.90861
LinearRegression_83,11.94245,3.45578,2.37617,0.88358
LinearRegression_84,10.33382,3.21463,2.33974,0.88874
LinearRegression_85,10.91252,3.30341,2.40292,0.88800
LinearRegression_86,7.76946,2.78738,1.95440,0.91664
LinearRegression_87,8.63668,2.93882,1.99742,0.90838
LinearRegression_88,8.75094,2.95820,2.09553,0.91277
LinearRegression_89,11.19794,3.34633,2.42829,0.86002
LinearRegression_90,9.71853,3.11746,2.20260,0.89715
LinearRegression_91,7.81617,2.79574,1.97873,0.91360
LinearRegression_92,8.61473,2.93509,2.12326,0.91214
LinearRegression_93,12.40936,3.52269,2.54394,0.86771
LinearRegression_94,10.26859,3.20446,2.31985,0.89239
LinearRegression_95,8.70777,2.95089,2.04173,0.89917
LinearRegression_96,8.85156,2.97516,2.06510,0.89822
LinearRegression_97,10.85009,3.29395,2.36455,0.88085
LinearRegression_98,10.23924,3.19988,2.31864,0.88369
LinearRegression_99,8.64205,2.93974,2.09519,0.90659
SVR_0,32.90801,5.73655,4.28626,0.69172
SVR_1,26.25877,5.12433,3.53908,0.72033
SVR_2,20.64237,4.54339,3.27688,0.76564
SVR_3,30.52005,5.52450,3.94545,0.70440
SVR_4,36.59289,6.04921,4.29929,0.66084
SVR_5,25.62502,5.06212,3.57476,0.71401
SVR_6,31.82245,5.64114,4.09670,0.67815
SVR_7,35.13800,5.92773,4.02071,0.66342
SVR_8,26.40489,5.13857,3.58295,0.72400
SVR_9,25.09326,5.00932,3.70066,0.72744
SVR_10,30.41843,5.51529,3.86616,0.68927
SVR_11,22.84665,4.77982,3.46266,0.74704
SVR_12,26.11851,5.11063,3.65520,0.72034
SVR_13,26.10593,5.10940,3.58986,0.72805
SVR_14,18.58085,4.31055,3.13506,0.79049
SVR_15,29.98929,5.47625,4.06724,0.68372
SVR_16,27.10692,5.20643,3.76510,0.72941
SVR_17,24.73449,4.97338,3.62391,0.72511
SVR_18,21.32141,4.61751,3.33525,0.74824
SVR_19,25.49300,5.04906,3.76046,0.72606
SVR_20,23.87329,4.88603,3.49070,0.74692
SVR_21,30.10465,5.48677,3.79136,0.69400
SVR_22,29.77787,5.45691,4.00002,0.70245
SVR_23,31.15206,5.58140,3.94586,0.68298
SVR_24,30.12383,5.48852,4.07712,0.68738
SVR_25,31.20111,5.58580,3.93319,0.70102
SVR_26,29.78952,5.45798,3.99402,0.70067
SVR_27,25.46330,5.04612,3.69120,0.73371
SVR_28,26.68848,5.16609,3.73383,0.72154
SVR_29,22.10138,4.70121,3.46359,0.75405
SVR_30,25.68742,5.06828,3.63213,0.71913
SVR_31,27.22689,5.21794,3.87753,0.72324
SVR_32,26.47754,5.14563,3.84133,0.71922
SVR_33,27.22423,5.21768,3.70494,0.67583
SVR_34,20.37678,4.51406,3.26418,0.77148
SVR_35,35.46481,5.95523,4.33278,0.66854
SVR_36,21.47073,4.63365,3.35037,0.74326
SVR_37,35.50262,5.95841,4.26390,0.67071
SVR_38,28.43806,5.33273,3.67008,0.69622
SVR_39,29.63898,5.44417,3.91493,0.70311
SVR_40,25.94862,5.09398,3.53752,0.72139
SVR_41,28.03907,5.29519,3.77885,0.70655
SVR_42,29.02714,5.38768,3.83036,0.71209
SVR_43,27.87034,5.27924,3.77048,0.69968
SVR_44,30.76401,5.54653,4.12150,0.71419
SVR_45,29.49756,5.43117,3.94158,0.70005
SVR_46,32.15168,5.67024,3.93626,0.66517
SVR_47,33.05164,5.74906,4.12681,0.67534
SVR_48,28.92712,5.37839,3.97572,0.68819
SVR_49,31.39228,5.60288,3.92993,0.69650
SVR_50,22.00067,4.69049,3.44607,0.73341
SVR_51,26.51447,5.14922,3.73781,0.71565
SVR_52,26.98159,5.19438,3.85037,0.72096
SVR_53,32.68381,5.71698,3.87596,0.68043
SVR_54,26.78480,5.17540,3.63676,0.70509
SVR_55,28.26179,5.31618,3.70835,0.70197
SVR_56,28.62322,5.35007,3.78523,0.68653
SVR_57,29.04736,5.38956,3.90737,0.70937
SVR_58,24.15812,4.91509,3.64592,0.74449
SVR_59,33.74161,5.80875,4.19324,0.68324
SVR_60,33.32512,5.77279,4.02369,0.68490
SVR_61,26.36598,5.13478,3.68140,0.73083
SVR_62,24.31820,4.93135,3.59500,0.73915
SVR_63,28.31615,5.32129,3.91733,0.70339
SVR_64,32.09105,5.66490,4.01944,0.66087
SVR_65,26.99277,5.19546,3.74105,0.72189
SVR_66,23.46043,4.84360,3.42923,0.73562
SVR_67,26.88145,5.18473,3.72636,0.72020
SVR_68,32.13152,5.66847,4.04352,0.69089
SVR_69,35.55010,5.96239,4.29940,0.68308
SVR_70,27.32261,5.22710,3.86862,0.69751
SVR_71,22.08475,4.69944,3.44515,0.74539
SVR_72,30.16796,5.49254,4.08126,0.71230
SVR_73,27.18005,5.21345,3.78187,0.72694
SVR_74,31.31694,5.59615,3.93004,0.68077
SVR_75,21.87698,4.67728,3.49331,0.75755
SVR_76,26.64297,5.16168,3.64048,0.71608
SVR_77,28.47097,5.33582,3.95683,0.69920
SVR_78,25.12197,5.01218,3.57592,0.73478
SVR_79,23.95954,4.89485,3.54219,0.73525
SVR_80,34.47026,5.87114,4.25347,0.68868
SVR_81,35.54861,5.96227,4.12448,0.64840
SVR_82,23.21955,4.81867,3.50488,0.75398
SVR_83,35.62600,5.96875,4.30702,0.65400
SVR_84,27.34483,5.22923,3.74000,0.70693
SVR_85,31.70118,5.63038,4.08796,0.67860
SVR_86,24.86235,4.98622,3.48427,0.73657
SVR_87,27.08169,5.20401,3.85018,0.71531
SVR_88,28.86736,5.37284,3.91917,0.71674
SVR_89,24.83742,4.98372,3.47419,0.69328
SVR_90,25.10215,5.01020,3.65830,0.73721
SVR_91,23.32069,4.82915,3.46077,0.74403
SVR_92,27.30973,5.22587,3.86599,0.72276
SVR_93,34.34441,5.86041,4.18706,0.63355
SVR_94,28.40802,5.32992,3.77969,0.70528
SVR_95,22.95865,4.79152,3.44934,0.73602
SVR_96,22.83045,4.77812,3.27659,0.73980
SVR_97,26.06601,5.10549,3.78151,0.71665
SVR_98,24.21268,4.92064,3.45034,0.72950
SVR_99,26.08402,5.10725,3.68218,0.71949
GaussianProcessRegressor_0,3.12391,1.76746,0.94499,0.96816
GaussianProcessRegressor_1,2.81628,1.67818,0.89080,0.96941
GaussianProcessRegressor_2,2.06019,1.43534,0.71688,0.97506
GaussianProcessRegressor_3,2.36029,1.53632,0.83343,0.97584
GaussianProcessRegressor_4,3.19818,1.78834,0.87474,0.96718
GaussianProcessRegressor_5,2.84156,1.68569,0.85321,0.96608
GaussianProcessRegressor_6,2.59112,1.60970,0.84170,0.97213
GaussianProcessRegressor_7,3.23299,1.79805,0.92113,0.96913
GaussianProcessRegressor_8,3.02141,1.73822,0.88696,0.96744
GaussianProcessRegressor_9,2.25067,1.50022,0.78350,0.97266
GaussianProcessRegressor_10,2.86808,1.69354,0.87403,0.96884
GaussianProcessRegressor_11,1.55604,1.24742,0.63166,0.98160
GaussianProcessRegressor_12,2.19219,1.48061,0.77164,0.97589
GaussianProcessRegressor_13,2.33386,1.52770,0.78855,0.97478
GaussianProcessRegressor_14,1.83453,1.35445,0.64617,0.97805
GaussianProcessRegressor_15,2.39588,1.54786,0.87516,0.97286
GaussianProcessRegressor_16,2.31853,1.52267,0.72916,0.97494
GaussianProcessRegressor_17,2.07200,1.43945,0.73755,0.97604
