train_label, mse, rmse, mae, r2
LinearRegression_0,8.98594,2.99766,2.12219,0.90153
LinearRegression_1,9.83703,3.13640,2.19290,0.90061
LinearRegression_2,8.07171,2.84108,1.96824,0.91743
LinearRegression_3,8.43523,2.90435,1.97188,0.91781
LinearRegression_4,10.52162,3.24370,2.27872,0.88252
LinearRegression_5,6.96836,2.63977,1.86356,0.92901
LinearRegression_6,8.89596,2.98261,2.17930,0.90145
LinearRegression_7,9.22139,3.03667,2.13962,0.89407
LinearRegression_8,9.79342,3.12944,2.22365,0.90493
LinearRegression_9,8.38028,2.89487,2.13490,0.90919
LinearRegression_10,9.39353,3.06489,2.20122,0.90384
LinearRegression_11,9.11590,3.01925,2.13941,0.90217
LinearRegression_12,11.38587,3.37430,2.36025,0.89754
LinearRegression_13,9.34869,3.05756,2.17602,0.89537
LinearRegression_14,11.03959,3.32259,2.35104,0.88586
LinearRegression_15,10.76807,3.28147,2.33587,0.89246
LinearRegression_16,8.72486,2.95379,2.12882,0.90706
LinearRegression_17,8.66187,2.94310,2.03031,0.91149
LinearRegression_18,9.73796,3.12057,2.21085,0.89276
LinearRegression_19,10.34672,3.21663,2.24252,0.88481
LinearRegression_20,11.69084,3.41919,2.44936,0.88068
LinearRegression_21,10.64361,3.26246,2.39241,0.86751
LinearRegression_22,10.05997,3.17175,2.25490,0.89330
LinearRegression_23,11.56868,3.40128,2.44831,0.87476
LinearRegression_24,8.47580,2.91132,2.02781,0.90986
LinearRegression_25,8.17057,2.85842,2.00262,0.90793
LinearRegression_26,9.79631,3.12991,2.18303,0.88806
LinearRegression_27,7.75827,2.78537,1.97782,0.91032
LinearRegression_28,11.32496,3.36526,2.32001,0.88991
LinearRegression_29,9.08836,3.01469,2.11230,0.90640
LinearRegression_30,8.44510,2.90605,2.09349,0.90742
LinearRegression_31,9.54274,3.08913,2.17920,0.89493
LinearRegression_32,8.35518,2.89053,2.04262,0.90935
LinearRegression_33,9.38076,3.06280,2.19001,0.89439
LinearRegression_34,8.52927,2.92049,2.14702,0.90652
LinearRegression_35,11.47364,3.38728,2.33906,0.89435
LinearRegression_36,8.94562,2.99092,2.11565,0.91048
LinearRegression_37,9.32480,3.05365,2.18701,0.89751
LinearRegression_38,9.14913,3.02475,2.10453,0.89670
LinearRegression_39,11.50804,3.39235,2.37857,0.87581
LinearRegression_40,10.11414,3.18027,2.26986,0.88670
LinearRegression_41,10.86581,3.29633,2.32548,0.88780
LinearRegression_42,9.45267,3.07452,2.12130,0.89610
LinearRegression_43,10.54056,3.24662,2.27146,0.89151
LinearRegression_44,8.89206,2.98196,2.03432,0.90775
LinearRegression_45,9.41741,3.06878,2.21735,0.89579
LinearRegression_46,8.60538,2.93349,2.06527,0.91405
LinearRegression_47,9.10841,3.01801,2.08976,0.89714
LinearRegression_48,9.63755,3.10444,2.21098,0.90089
LinearRegression_49,8.74739,2.95760,2.06248,0.90553
LinearRegression_50,9.24998,3.04138,2.18977,0.89625
LinearRegression_51,11.44227,3.38264,2.42480,0.88195
LinearRegression_52,8.12653,2.85071,2.01583,0.91504
LinearRegression_53,10.01238,3.16423,2.24980,0.89791
LinearRegression_54,9.21189,3.03511,2.11947,0.91034
LinearRegression_55,10.13835,3.18408,2.30136,0.89395
LinearRegression_56,9.85714,3.13961,2.27360,0.88907
LinearRegression_57,8.77095,2.96158,2.04845,0.90809
LinearRegression_58,9.34365,3.05674,2.12856,0.90026
LinearRegression_59,10.79404,3.28543,2.32173,0.89072
LinearRegression_60,8.48443,2.91280,2.11958,0.91122
LinearRegression_61,9.92196,3.14991,2.17558,0.90022
LinearRegression_62,10.67993,3.26802,2.35452,0.87426
LinearRegression_63,9.17839,3.02958,2.20646,0.90351
