train_label, mse, rmse, mae, r2
LinearRegression_0,7.37430,2.71557,1.88292,0.92248
LinearRegression_1,9.43853,3.07222,2.14627,0.90922
LinearRegression_2,8.56315,2.92629,2.04560,0.91331
LinearRegression_3,8.81754,2.96943,1.97527,0.91745
LinearRegression_4,7.92932,2.81590,2.03572,0.90782
LinearRegression_5,8.53825,2.92203,2.03208,0.91181
LinearRegression_6,7.08812,2.66235,1.90363,0.90856
LinearRegression_7,7.66504,2.76858,1.93329,0.91720
LinearRegression_8,7.58749,2.75454,1.96916,0.92068
LinearRegression_9,7.73229,2.78070,1.95091,0.91956
LinearRegression_10,6.99667,2.64512,1.83543,0.92891
LinearRegression_11,8.84597,2.97422,2.08852,0.91013
LinearRegression_12,8.15654,2.85597,1.98737,0.91425
LinearRegression_13,9.05883,3.00979,2.03652,0.91794
LinearRegression_14,9.81399,3.13273,2.20523,0.89239
LinearRegression_15,8.01665,2.83137,1.94941,0.91542
LinearRegression_16,8.54264,2.92278,2.11713,0.89563
LinearRegression_17,9.65214,3.10679,2.18453,0.89664
LinearRegression_18,10.03892,3.16843,2.19365,0.88978
LinearRegression_19,8.51281,2.91767,2.03749,0.91224
LinearRegression_20,9.19793,3.03281,2.10502,0.90056
LinearRegression_21,8.27310,2.87630,1.98587,0.92156
LinearRegression_22,10.16966,3.18899,2.20536,0.90176
LinearRegression_23,7.59277,2.75550,1.92446,0.91103
LinearRegression_24,9.03693,3.00615,2.15477,0.90492
LinearRegression_25,8.47922,2.91191,2.05853,0.90415
LinearRegression_26,7.45594,2.73056,1.86187,0.92606
LinearRegression_27,7.55206,2.74810,1.87823,0.92074
LinearRegression_28,9.63857,3.10460,2.16524,0.88229
LinearRegression_29,10.96412,3.31121,2.31431,0.88594
LinearRegression_30,8.48687,2.91322,2.04735,0.90676
LinearRegression_31,7.83615,2.79931,1.93368,0.91378
LinearRegression_32,7.55434,2.74852,1.91743,0.91415
LinearRegression_33,9.14975,3.02485,2.13044,0.89422
LinearRegression_34,7.89050,2.80900,1.86143,0.91661
LinearRegression_35,6.55929,2.56111,1.73732,0.92945
LinearRegression_36,6.60244,2.56952,1.90095,0.93006
LinearRegression_37,8.10279,2.84654,2.05915,0.90556
LinearRegression_38,7.66367,2.76833,1.91508,0.91324
LinearRegression_39,7.68639,2.77243,1.98003,0.90997
LinearRegression_40,7.29151,2.70028,1.88864,0.91902
LinearRegression_41,8.19611,2.86289,1.97271,0.91057
LinearRegression_42,7.83636,2.79935,1.90253,0.91238
LinearRegression_43,10.48730,3.23841,2.25786,0.89304
LinearRegression_44,7.62046,2.76052,1.91643,0.91768
LinearRegression_45,10.88800,3.29970,2.30882,0.88402
LinearRegression_46,9.34158,3.05640,2.13071,0.89342
LinearRegression_47,7.54516,2.74685,1.91651,0.92160
LinearRegression_48,9.42226,3.06957,2.11731,0.89489
LinearRegression_49,7.28014,2.69817,1.89445,0.92004
LinearRegression_50,9.24186,3.04004,2.13572,0.90138
LinearRegression_51,7.38117,2.71683,1.85539,0.92378
LinearRegression_52,7.51229,2.74086,1.95141,0.92205
LinearRegression_53,8.30212,2.88134,1.95210,0.91308
LinearRegression_54,9.51455,3.08457,2.19362,0.89137
LinearRegression_55,6.73637,2.59545,1.82439,0.93092
LinearRegression_56,8.34448,2.88868,2.00805,0.90801
LinearRegression_57,10.20676,3.19480,2.27035,0.88883
LinearRegression_58,8.87009,2.97827,2.06298,0.90476
LinearRegression_59,8.31251,2.88314,2.05306,0.90514
LinearRegression_60,6.29990,2.50996,1.72687,0.92397
LinearRegression_61,8.63058,2.93779,2.02776,0.90593
LinearRegression_62,10.09630,3.17747,2.20220,0.90350
LinearRegression_63,10.91808,3.30425,2.26434,0.89409
LinearRegression_64,9.27491,3.04547,2.19326,0.89513
LinearRegression_65,8.40650,2.89940,1.99754,0.90900
LinearRegression_66,9.21741,3.03602,2.12243,0.90669
LinearRegression_67,7.31391,2.70442,1.91266,0.92400
LinearRegression_68,11.92627,3.45344,2.40321,0.88043
LinearRegression_69,8.95815,2.99302,2.08465,0.89681
LinearRegression_70,8.90200,2.98362,2.02343,0.91414
LinearRegression_71,6.91278,2.62922,1.82226,0.92640
