train_label, mse, rmse, mae, r2
LinearRegression_0,9.23248,3.03850,2.16874,0.89844
LinearRegression_1,9.14578,3.02420,2.11930,0.91242
LinearRegression_2,9.20495,3.03397,2.09896,0.90497
LinearRegression_3,7.94776,2.81918,1.98904,0.90784
LinearRegression_4,8.17639,2.85944,1.98876,0.91776
LinearRegression_5,7.82619,2.79753,1.89691,0.92238
LinearRegression_6,8.07714,2.84203,2.07346,0.91086
LinearRegression_7,7.12210,2.66873,1.90553,0.91276
LinearRegression_8,8.45792,2.90825,2.03528,0.90002
LinearRegression_9,7.18361,2.68023,1.94800,0.92371
LinearRegression_10,7.77978,2.78923,1.89718,0.91429
LinearRegression_11,8.58116,2.92936,2.06682,0.89955
LinearRegression_12,8.95552,2.99258,2.08740,0.88525
LinearRegression_13,8.17670,2.85949,1.97927,0.91618
LinearRegression_14,8.55439,2.92479,2.12939,0.90265
LinearRegression_15,8.66341,2.94337,2.02352,0.91355
LinearRegression_16,6.98917,2.64370,1.88428,0.92323
LinearRegression_17,8.28343,2.87810,2.06713,0.90939
LinearRegression_18,9.63581,3.10416,2.21287,0.90341
LinearRegression_19,10.49526,3.23964,2.34041,0.88057
LinearRegression_20,8.60190,2.93290,2.10475,0.90103
LinearRegression_21,7.47209,2.73351,1.88488,0.92065
LinearRegression_22,8.48850,2.91350,2.04495,0.90985
LinearRegression_23,8.95182,2.99196,2.05316,0.90778
LinearRegression_24,8.70855,2.95103,2.09270,0.90908
LinearRegression_25,7.84583,2.80104,1.94227,0.91571
LinearRegression_26,7.48543,2.73595,1.91186,0.91090
LinearRegression_27,8.02253,2.83241,1.99652,0.91651
LinearRegression_28,7.51773,2.74185,1.90298,0.91809
LinearRegression_29,7.22510,2.68796,1.90786,0.91511
LinearRegression_30,8.05464,2.83807,2.02047,0.90340
LinearRegression_31,10.66137,3.26518,2.28360,0.89143
LinearRegression_32,8.20306,2.86410,1.95103,0.91251
LinearRegression_33,8.96000,2.99333,2.09880,0.90498
LinearRegression_34,7.96580,2.82238,1.98859,0.90460
LinearRegression_35,7.86864,2.80511,1.97998,0.91508
LinearRegression_36,7.98021,2.82493,1.98769,0.91385
LinearRegression_37,7.41667,2.72336,1.91259,0.92469
LinearRegression_38,11.04078,3.32277,2.38488,0.88641
LinearRegression_39,8.07547,2.84174,1.96008,0.91624
LinearRegression_40,9.67462,3.11040,2.15502,0.90285
LinearRegression_41,11.05376,3.32472,2.29424,0.88940
LinearRegression_42,7.54226,2.74632,1.97559,0.91390
LinearRegression_43,7.14419,2.67286,1.83769,0.91505
LinearRegression_44,7.65036,2.76593,1.89940,0.91272
LinearRegression_45,9.70821,3.11580,2.19774,0.89618
LinearRegression_46,8.73601,2.95568,2.08452,0.90728
LinearRegression_47,7.38003,2.71662,1.92758,0.91140
LinearRegression_48,7.36714,2.71425,1.88905,0.92057
LinearRegression_49,7.99438,2.82743,1.94698,0.90647
LinearRegression_50,9.44477,3.07323,2.16630,0.90625
LinearRegression_51,8.50159,2.91575,2.10851,0.89675
LinearRegression_52,9.45462,3.07484,2.11208,0.90527
LinearRegression_53,8.48865,2.91353,2.04716,0.91147
LinearRegression_54,9.16184,3.02685,2.09879,0.90067
LinearRegression_55,10.53388,3.24559,2.20823,0.90351
LinearRegression_56,6.77412,2.60271,1.76324,0.92459
LinearRegression_57,9.04315,3.00718,2.09179,0.90080
LinearRegression_58,8.26460,2.87482,2.05006,0.91118
LinearRegression_59,8.46746,2.90989,2.02612,0.90830
LinearRegression_60,9.40186,3.06624,2.17959,0.90625
LinearRegression_61,7.70191,2.77523,1.94329,0.92127
LinearRegression_62,8.28443,2.87827,1.99454,0.91088
LinearRegression_63,10.37851,3.22157,2.25785,0.89073
LinearRegression_64,7.35123,2.71132,1.85604,0.92091
LinearRegression_65,8.98507,2.99751,2.11051,0.90178
LinearRegression_66,9.55078,3.09043,2.18938,0.90051
LinearRegression_67,7.61400,2.75935,1.94134,0.91609
LinearRegression_68,9.74809,3.12219,2.12650,0.89981
LinearRegression_69,9.61529,3.10085,2.12000,0.90696
LinearRegression_70,9.05584,3.00929,2.08998,0.90307
LinearRegression_71,9.31089,3.05138,2.15848,0.89951
LinearRegression_72,9.51817,3.08515,2.17909,0.90505
LinearRegression_73,9.20291,3.03363,2.12768,0.89834
LinearRegression_74,7.65898,2.76749,1.88622,0.92279
LinearRegression_75,7.93066,2.81614,2.05694,0.90585
LinearRegression_76,9.33426,3.05520,2.13069,0.89984
LinearRegression_77,8.71735,2.95252,2.07911,0.90488
LinearRegression_78,7.78515,2.79019,1.94240,0.91598
LinearRegression_79,7.61149,2.75889,1.93091,0.91938
LinearRegression_80,9.69541,3.11375,2.11204,0.90265
LinearRegression_81,8.03862,2.83525,2.04972,0.91104
LinearRegression_82,6.68695,2.58591,1.82577,0.92892
LinearRegression_83,8.08217,2.84292,1.92818,0.91042
LinearRegression_84,9.48191,3.07927,2.18735,0.89706
LinearRegression_85,8.84626,2.97427,2.01110,0.91390
LinearRegression_86,7.92393,2.81495,1.98061,0.90833
LinearRegression_87,7.13528,2.67120,1.87973,0.92799
LinearRegression_88,9.90923,3.14789,2.19160,0.89528
LinearRegression_89,10.40893,3.22629,2.30709,0.88851
LinearRegression_90,7.27566,2.69734,1.85971,0.92554
LinearRegression_91,9.33335,3.05505,2.14245,0.89565
LinearRegression_92,7.49696,2.73806,1.87552,0.91399
LinearRegression_93,9.03409,3.00568,2.14911,0.90631
LinearRegression_94,8.25265,2.87274,2.04747,0.91385
LinearRegression_95,8.40266,2.89873,1.93906,0.91447
LinearRegression_96,7.85162,2.80207,1.92895,0.91164
LinearRegression_97,6.99951,2.64566,1.97474,0.92269
LinearRegression_98,7.87491,2.80623,1.96684,0.91128
LinearRegression_99,9.21456,3.03555,2.08741,0.90559
SVR_0,26.31940,5.13024,3.68978,0.71406
SVR_1,31.96849,5.65407,3.90855,0.69633
SVR_2,25.47321,5.04710,3.59478,0.73916
SVR_3,20.81035,4.56184,3.28424,0.76081
SVR_4,25.80384,5.07975,3.59034,0.74341
SVR_5,27.10594,5.20634,3.56156,0.73454
SVR_6,26.17463,5.11611,3.66777,0.71490
