train_label, mse, rmse, mae, r2
LinearRegression_0,9.04969,3.00827,2.12466,0.90927
LinearRegression_1,10.70785,3.27229,2.29678,0.89558
LinearRegression_2,9.03444,3.00573,2.24506,0.89646
LinearRegression_3,12.98158,3.60300,2.62997,0.87282
LinearRegression_4,10.61811,3.25854,2.32572,0.89651
LinearRegression_5,10.58888,3.25406,2.37222,0.88901
LinearRegression_6,9.61991,3.10160,2.24697,0.90521
LinearRegression_7,11.14448,3.33833,2.41172,0.87528
LinearRegression_8,10.87733,3.29808,2.31535,0.88619
LinearRegression_9,11.18351,3.34418,2.43627,0.88824
LinearRegression_10,8.18729,2.86134,2.10577,0.91028
LinearRegression_11,10.49356,3.23938,2.35545,0.88926
LinearRegression_12,8.94998,2.99165,2.12677,0.90132
LinearRegression_13,8.14061,2.85318,2.07002,0.92145
LinearRegression_14,10.12244,3.18158,2.31822,0.89142
LinearRegression_15,9.66171,3.10833,2.21229,0.88870
LinearRegression_16,9.02835,3.00472,2.15412,0.88982
LinearRegression_17,10.57721,3.25226,2.23978,0.89908
LinearRegression_18,9.62241,3.10200,2.31756,0.90012
LinearRegression_19,8.72680,2.95412,2.18653,0.89835
LinearRegression_20,12.03389,3.46899,2.56446,0.86562
LinearRegression_21,10.73910,3.27706,2.38525,0.89222
LinearRegression_22,10.08259,3.17531,2.32882,0.90483
LinearRegression_23,9.09122,3.01517,2.15354,0.90663
LinearRegression_24,10.79465,3.28552,2.24495,0.88920
LinearRegression_25,10.96623,3.31153,2.43015,0.88271
LinearRegression_26,8.28958,2.87916,2.16522,0.90090
LinearRegression_27,10.67578,3.26738,2.38381,0.88292
LinearRegression_28,11.36322,3.37094,2.44099,0.89321
LinearRegression_29,11.46395,3.38585,2.45850,0.88404
LinearRegression_30,10.22861,3.19822,2.28920,0.89004
LinearRegression_31,10.54720,3.24765,2.43282,0.88201
LinearRegression_32,10.05565,3.17106,2.29838,0.90006
LinearRegression_33,9.91749,3.14920,2.34863,0.90007
LinearRegression_34,8.61406,2.93497,2.03712,0.91269
LinearRegression_35,8.80716,2.96769,2.06594,0.90595
LinearRegression_36,9.48575,3.07989,2.20033,0.89995
LinearRegression_37,7.82278,2.79692,2.02181,0.91875
LinearRegression_38,9.23103,3.03826,2.17339,0.90320
LinearRegression_39,10.26407,3.20376,2.32519,0.89880
LinearRegression_40,10.52124,3.24365,2.33608,0.88635
LinearRegression_41,9.71181,3.11638,2.25755,0.89729
LinearRegression_42,9.28127,3.04652,2.17294,0.89989
LinearRegression_43,10.79721,3.28591,2.40780,0.88422
LinearRegression_44,11.84613,3.44182,2.51714,0.88435
LinearRegression_45,12.25338,3.50048,2.59494,0.86741
LinearRegression_46,9.78174,3.12758,2.23045,0.90207
LinearRegression_47,9.82304,3.13417,2.22885,0.89187
LinearRegression_48,10.46729,3.23532,2.38981,0.87883
LinearRegression_49,8.32917,2.88603,2.06250,0.90979
LinearRegression_50,7.40090,2.72046,2.04129,0.92111
LinearRegression_51,11.52108,3.39427,2.41383,0.87720
LinearRegression_52,8.76022,2.95977,2.12611,0.90515
LinearRegression_53,9.00494,3.00082,2.12599,0.90841
LinearRegression_54,9.68285,3.11173,2.28094,0.90673
LinearRegression_55,11.04050,3.32272,2.44298,0.88474
LinearRegression_56,9.24669,3.04084,2.20147,0.90865
LinearRegression_57,9.76825,3.12542,2.19447,0.89251
LinearRegression_58,8.49868,2.91525,2.11247,0.91439
LinearRegression_59,9.93195,3.15150,2.27209,0.89316
LinearRegression_60,9.62664,3.10268,2.30955,0.89701
LinearRegression_61,10.85763,3.29509,2.45025,0.86092
LinearRegression_62,10.10122,3.17824,2.20852,0.90473
LinearRegression_63,10.19149,3.19241,2.29427,0.89512
LinearRegression_64,9.50784,3.08348,2.24459,0.90281
LinearRegression_65,10.56850,3.25092,2.28517,0.89473
LinearRegression_66,11.06775,3.32682,2.48895,0.89643
LinearRegression_67,9.69949,3.11440,2.24606,0.89594
LinearRegression_68,7.72229,2.77890,2.03237,0.91813
LinearRegression_69,9.60874,3.09980,2.22976,0.89755
LinearRegression_70,9.48943,3.08049,2.18873,0.89899
LinearRegression_71,8.96460,2.99409,2.21330,0.90015
LinearRegression_72,9.58411,3.09582,2.25078,0.89845
LinearRegression_73,8.59912,2.93243,2.13066,0.91115
LinearRegression_74,8.00240,2.82885,2.06229,0.91745
