train_label, mse, rmse, mae, r2
LinearRegression_0,8.68914,2.94774,2.16581,0.90916
LinearRegression_1,9.52920,3.08694,2.13649,0.89196
LinearRegression_2,10.31551,3.21178,2.33656,0.88450
LinearRegression_3,10.90210,3.30183,2.30904,0.88855
LinearRegression_4,9.53331,3.08761,2.10531,0.89973
LinearRegression_5,10.08886,3.17630,2.28531,0.90483
LinearRegression_6,10.14802,3.18560,2.30087,0.89642
LinearRegression_7,10.56580,3.25051,2.28672,0.88672
LinearRegression_8,8.90169,2.98357,2.13950,0.90482
LinearRegression_9,10.00473,3.16303,2.24592,0.89246
LinearRegression_10,9.69190,3.11318,2.09197,0.90464
LinearRegression_11,9.31649,3.05229,2.20255,0.89529
LinearRegression_12,8.98785,2.99797,2.09938,0.90913
LinearRegression_13,9.00521,3.00087,2.07932,0.90653
LinearRegression_14,11.92319,3.45300,2.47725,0.86978
LinearRegression_15,13.27673,3.64373,2.48335,0.88568
LinearRegression_16,9.84682,3.13796,2.19503,0.90470
LinearRegression_17,8.72346,2.95355,2.07597,0.90859
LinearRegression_18,9.79212,3.12924,2.26334,0.89003
LinearRegression_19,10.56657,3.25063,2.24951,0.89222
LinearRegression_20,9.65678,3.10754,2.23946,0.89548
LinearRegression_21,8.87321,2.97879,2.13874,0.90350
LinearRegression_22,10.23085,3.19857,2.22146,0.88457
LinearRegression_23,10.03766,3.16823,2.22119,0.90519
LinearRegression_24,8.63634,2.93876,2.09204,0.90693
LinearRegression_25,8.09479,2.84513,2.03456,0.91600
LinearRegression_26,10.96412,3.31121,2.41748,0.89255
LinearRegression_27,8.96984,2.99497,2.03628,0.91399
LinearRegression_28,9.90976,3.14798,2.17352,0.90092
LinearRegression_29,11.32278,3.36493,2.39043,0.87758
LinearRegression_30,8.94721,2.99119,2.11442,0.89373
LinearRegression_31,9.73734,3.12047,2.18374,0.90420
LinearRegression_32,11.40634,3.37733,2.38637,0.88453
LinearRegression_33,10.10471,3.17879,2.31000,0.89312
LinearRegression_34,9.59165,3.09704,2.18219,0.90332
LinearRegression_35,11.16568,3.34151,2.32600,0.87883
LinearRegression_36,10.79694,3.28587,2.31741,0.87941
LinearRegression_37,9.49986,3.08218,2.18273,0.89839
LinearRegression_38,9.65771,3.10769,2.15926,0.90391
LinearRegression_39,9.94993,3.15435,2.14614,0.89265
LinearRegression_40,11.70445,3.42118,2.52600,0.86736
LinearRegression_41,7.66261,2.76814,1.98118,0.91818
LinearRegression_42,11.49763,3.39082,2.38340,0.88322
LinearRegression_43,9.98775,3.16034,2.23082,0.89498
LinearRegression_44,9.02445,3.00407,2.16214,0.90172
LinearRegression_45,9.23813,3.03943,2.02983,0.91008
LinearRegression_46,11.39027,3.37495,2.49268,0.87125
