train_label, mse, rmse, mae, r2
LinearRegression_0,8.33700,2.88739,2.03223,0.90864
LinearRegression_1,10.11835,3.18094,2.32823,0.89048
LinearRegression_2,9.52407,3.08611,2.08349,0.89604
LinearRegression_3,6.66472,2.58161,1.86622,0.91927
LinearRegression_4,6.32490,2.51494,1.72903,0.93452
LinearRegression_5,9.24275,3.04019,2.09510,0.89861
LinearRegression_6,6.90780,2.62827,1.81699,0.92477
LinearRegression_7,7.63585,2.76330,1.89929,0.91190
LinearRegression_8,6.80477,2.60859,1.76009,0.92423
LinearRegression_9,9.38592,3.06365,2.13803,0.89588
LinearRegression_10,8.26512,2.87491,1.98322,0.91664
LinearRegression_11,9.88955,3.14477,2.23930,0.89343
LinearRegression_12,7.32679,2.70680,1.86835,0.92057
LinearRegression_13,9.78902,3.12874,2.25649,0.89874
LinearRegression_14,8.88005,2.97994,2.15231,0.90996
LinearRegression_15,7.78656,2.79044,1.94142,0.91655
LinearRegression_16,9.26677,3.04414,2.05516,0.90375
LinearRegression_17,8.23467,2.86961,1.97546,0.90070
LinearRegression_18,7.35400,2.71183,1.86300,0.92618
LinearRegression_19,8.95165,2.99193,2.08701,0.90185
LinearRegression_20,9.15240,3.02529,2.13145,0.91028
LinearRegression_21,7.42976,2.72576,1.96233,0.91303
LinearRegression_22,7.20932,2.68502,1.84062,0.92689
LinearRegression_23,7.80771,2.79423,1.97557,0.91630
LinearRegression_24,6.93062,2.63261,1.86702,0.92869
LinearRegression_25,8.40971,2.89995,2.02501,0.91285
LinearRegression_26,10.11692,3.18071,2.23595,0.89678
LinearRegression_27,9.79511,3.12971,2.16700,0.89625
LinearRegression_28,8.22040,2.86712,1.99806,0.91511
LinearRegression_29,10.81770,3.28903,2.32338,0.87971
LinearRegression_30,10.49377,3.23941,2.20826,0.89753
LinearRegression_31,8.87340,2.97882,2.10384,0.89723
LinearRegression_32,7.52160,2.74255,1.96724,0.91530
LinearRegression_33,8.91510,2.98582,2.11117,0.90092
LinearRegression_34,8.58580,2.93015,2.07817,0.90601
LinearRegression_35,7.70279,2.77539,1.98715,0.90763
LinearRegression_36,8.33787,2.88754,2.01054,0.90622
LinearRegression_37,7.48994,2.73678,1.91901,0.91538
LinearRegression_38,9.15931,3.02644,2.13231,0.90169
LinearRegression_39,9.51906,3.08530,2.07179,0.90762
LinearRegression_40,9.11735,3.01949,2.14484,0.90178
LinearRegression_41,6.67392,2.58339,1.84469,0.91788
LinearRegression_42,8.27017,2.87579,2.01533,0.90418
LinearRegression_43,7.69141,2.77334,1.90611,0.91628
LinearRegression_44,9.15797,3.02621,2.08831,0.90545
LinearRegression_45,7.94968,2.81952,1.92308,0.91365
LinearRegression_46,7.91604,2.81354,1.98334,0.92215
LinearRegression_47,8.35758,2.89095,2.03936,0.91037
LinearRegression_48,8.28154,2.87777,2.02124,0.91276
LinearRegression_49,7.71224,2.77709,2.05206,0.91333
LinearRegression_50,8.95769,2.99294,2.06682,0.91244
LinearRegression_51,8.71732,2.95251,2.08637,0.90337
LinearRegression_52,7.74793,2.78351,2.00650,0.90751
LinearRegression_53,7.85092,2.80195,1.96933,0.90918
LinearRegression_54,9.66540,3.10892,2.18622,0.89058
LinearRegression_55,7.74376,2.78276,1.91718,0.91760
LinearRegression_56,10.31682,3.21198,2.26286,0.88878
LinearRegression_57,10.73042,3.27573,2.21667,0.89280
LinearRegression_58,9.15080,3.02503,2.09515,0.90383
LinearRegression_59,8.83222,2.97191,2.10040,0.90707
LinearRegression_60,9.29948,3.04951,2.16588,0.90248
LinearRegression_61,9.41842,3.06894,2.11914,0.89531
LinearRegression_62,8.35511,2.89052,2.05300,0.90091
LinearRegression_63,7.65996,2.76766,1.92610,0.92073
LinearRegression_64,7.47507,2.73406,1.86642,0.92022
LinearRegression_65,10.21521,3.19612,2.18179,0.89519
LinearRegression_66,8.95718,2.99285,2.17140,0.90389
LinearRegression_67,8.81601,2.96918,2.08623,0.90003
LinearRegression_68,8.74674,2.95749,2.06543,0.89759
LinearRegression_69,7.08662,2.66207,1.91137,0.92146
LinearRegression_70,6.46845,2.54331,1.73315,0.92320
LinearRegression_71,9.83075,3.13540,2.17902,0.89241
LinearRegression_72,8.86147,2.97682,2.05441,0.91334
LinearRegression_73,8.62658,2.93710,1.93810,0.91557
LinearRegression_74,7.98884,2.82645,2.00357,0.91389
LinearRegression_75,6.92403,2.63136,1.85430,0.92102
LinearRegression_76,7.99401,2.82737,1.95133,0.91288
LinearRegression_77,10.11102,3.17978,2.26009,0.89204
LinearRegression_78,7.49311,2.73735,1.91752,0.91572
LinearRegression_79,7.99779,2.82804,2.07206,0.91435
LinearRegression_80,8.35290,2.89014,2.01421,0.90825
LinearRegression_81,8.40261,2.89873,2.07553,0.89743
LinearRegression_82,6.46830,2.54328,1.80835,0.92231
LinearRegression_83,10.79988,3.28632,2.29224,0.89309
LinearRegression_84,6.87165,2.62138,1.84696,0.92884
LinearRegression_85,8.77791,2.96275,2.09791,0.90440
LinearRegression_86,8.43830,2.90488,2.05647,0.90322
LinearRegression_87,10.48472,3.23801,2.21103,0.88947
LinearRegression_88,8.74517,2.95722,2.01741,0.90883
LinearRegression_89,8.28858,2.87899,2.08504,0.91071
LinearRegression_90,9.34142,3.05637,2.13710,0.90243
LinearRegression_91,8.96611,2.99435,2.04801,0.90981
LinearRegression_92,9.33149,3.05475,2.17960,0.90752
LinearRegression_93,6.61032,2.57105,1.81038,0.92977
LinearRegression_94,8.80915,2.96802,2.17655,0.88858
LinearRegression_95,9.90000,3.14643,2.27364,0.89339
LinearRegression_96,8.07222,2.84116,1.94795,0.90986
LinearRegression_97,7.38801,2.71809,1.87415,0.92392
LinearRegression_98,7.86740,2.80489,2.01285,0.91350
LinearRegression_99,9.20831,3.03452,2.08752,0.90611
SVR_0,21.62547,4.65032,3.22980,0.76672
SVR_1,24.65247,4.96513,3.40775,0.73459
SVR_2,25.86961,5.08622,3.57725,0.71955
SVR_3,17.25743,4.15421,3.02281,0.79191
SVR_4,22.24832,4.71681,3.43983,0.77153
SVR_5,25.29466,5.02938,3.59346,0.72615
SVR_6,22.18260,4.70984,3.48188,0.76243
SVR_7,19.82437,4.45246,3.21191,0.77253
SVR_8,20.12052,4.48559,3.24844,0.77896
SVR_9,24.25090,4.92452,3.55136,0.73476
SVR_10,25.39278,5.03912,3.49951,0.74715
SVR_11,25.18179,5.01815,3.37750,0.73176
SVR_12,21.16299,4.60033,3.21939,0.77205
