train_label, mse, rmse, mae, r2
LinearRegression_0,8.90194,2.98361,2.10390,0.90630
LinearRegression_1,7.56056,2.74965,1.96204,0.91670
LinearRegression_2,7.96701,2.82259,2.00358,0.90230
LinearRegression_3,10.17621,3.19002,2.24418,0.90020
LinearRegression_4,6.88737,2.62438,1.91533,0.91518
LinearRegression_5,8.16442,2.85734,1.99146,0.91062
LinearRegression_6,8.15290,2.85533,2.03057,0.91299
LinearRegression_7,8.94821,2.99136,2.10832,0.90288
LinearRegression_8,8.50466,2.91627,2.03726,0.90570
LinearRegression_9,7.98126,2.82511,2.04866,0.90729
LinearRegression_10,9.92443,3.15031,2.15163,0.90525
LinearRegression_11,8.32143,2.88469,2.02174,0.91405
LinearRegression_12,8.74318,2.95689,2.03502,0.91212
LinearRegression_13,8.45642,2.90799,2.07415,0.90082
LinearRegression_14,8.25312,2.87282,2.07608,0.91101
LinearRegression_15,7.73731,2.78160,1.97975,0.91224
LinearRegression_16,8.11114,2.84801,2.03476,0.90418
LinearRegression_17,8.21902,2.86688,2.00179,0.90852
LinearRegression_18,8.37150,2.89336,2.08077,0.90846
LinearRegression_19,8.28645,2.87862,2.02679,0.90889
LinearRegression_20,8.73484,2.95548,2.10762,0.90916
LinearRegression_21,8.61715,2.93550,2.04530,0.90826
LinearRegression_22,10.21968,3.19682,2.21643,0.89673
LinearRegression_23,8.77810,2.96279,2.10238,0.89996
LinearRegression_24,8.60329,2.93314,2.07337,0.90949
LinearRegression_25,7.37148,2.71505,1.98222,0.92006
LinearRegression_26,7.92680,2.81546,1.95689,0.91611
LinearRegression_27,9.67897,3.11110,2.15916,0.89969
LinearRegression_28,8.90637,2.98435,2.12657,0.89912
LinearRegression_29,9.49207,3.08092,2.05937,0.90686
LinearRegression_30,7.35642,2.71227,1.89268,0.91989
LinearRegression_31,8.20450,2.86435,2.04261,0.90844
LinearRegression_32,9.08431,3.01402,2.26586,0.89030
LinearRegression_33,9.10210,3.01697,2.15454,0.89501
LinearRegression_34,7.70638,2.77604,1.90367,0.92133
LinearRegression_35,7.05082,2.65534,1.85233,0.92875
LinearRegression_36,8.99444,2.99907,2.07069,0.91211
LinearRegression_37,7.79500,2.79195,2.00769,0.90923
LinearRegression_38,8.20192,2.86390,1.91958,0.91649
LinearRegression_39,8.11056,2.84790,2.00639,0.91315
LinearRegression_40,10.82774,3.29055,2.22841,0.89542
LinearRegression_41,8.76566,2.96069,2.10305,0.90713
LinearRegression_42,8.61619,2.93534,2.05411,0.90431
LinearRegression_43,7.51058,2.74054,1.87553,0.91342
LinearRegression_44,10.46686,3.23525,2.26824,0.89318
LinearRegression_45,7.72164,2.77878,1.99538,0.91341
LinearRegression_46,9.71150,3.11633,2.10858,0.89899
LinearRegression_47,9.94960,3.15430,2.19289,0.89252
LinearRegression_48,7.92032,2.81431,2.00754,0.88425
LinearRegression_49,7.15099,2.67413,1.87559,0.92581
LinearRegression_50,9.53340,3.08762,2.18005,0.89645
LinearRegression_51,7.93666,2.81721,2.01784,0.90608
LinearRegression_52,8.01875,2.83174,2.05278,0.91667
LinearRegression_53,6.64975,2.57871,1.83260,0.92644
LinearRegression_54,9.01650,3.00275,2.01359,0.90826
LinearRegression_55,10.42101,3.22816,2.21239,0.89711
LinearRegression_56,8.14393,2.85376,1.99414,0.90741
LinearRegression_57,9.60910,3.09986,2.16797,0.90355
LinearRegression_58,9.10417,3.01731,2.18034,0.88886
LinearRegression_59,8.60302,2.93309,2.03019,0.90925
LinearRegression_60,8.92186,2.98695,2.15351,0.89191
LinearRegression_61,7.92007,2.81426,1.96362,0.90802
LinearRegression_62,9.70142,3.11471,2.13596,0.90272
LinearRegression_63,9.11453,3.01903,2.09549,0.90206
LinearRegression_64,8.24327,2.87111,1.96591,0.92030
LinearRegression_65,7.96730,2.82264,1.96621,0.91440
LinearRegression_66,7.65019,2.76590,1.92100,0.90573
LinearRegression_67,9.35528,3.05864,2.09452,0.90364
LinearRegression_68,7.82989,2.79819,1.96063,0.91579
LinearRegression_69,8.56928,2.92733,2.06428,0.91228
LinearRegression_70,8.90798,2.98462,2.09491,0.90394
LinearRegression_71,7.34596,2.71034,1.91951,0.90880
LinearRegression_72,9.40479,3.06672,2.17788,0.89689
LinearRegression_73,10.69286,3.26999,2.27726,0.88706
LinearRegression_74,6.38209,2.52628,1.75067,0.93260
LinearRegression_75,6.52387,2.55419,1.84383,0.93211
LinearRegression_76,7.84662,2.80118,2.02259,0.90806
LinearRegression_77,8.32557,2.88541,2.03989,0.90847
LinearRegression_78,7.85021,2.80182,1.99887,0.91623
LinearRegression_79,7.99316,2.82722,1.91783,0.91957
LinearRegression_80,7.51948,2.74217,1.88258,0.91886
LinearRegression_81,7.89257,2.80937,1.98707,0.90805
LinearRegression_82,6.91700,2.63002,1.79273,0.92405
LinearRegression_83,6.96851,2.63979,1.89542,0.91769
LinearRegression_84,8.85435,2.97563,2.09252,0.89508
LinearRegression_85,9.79431,3.12959,2.14274,0.89499
LinearRegression_86,7.79339,2.79166,1.94016,0.91171
LinearRegression_87,7.56114,2.74975,1.96862,0.91487
LinearRegression_88,9.01544,3.00257,2.11693,0.90355
LinearRegression_89,7.40438,2.72110,1.88876,0.92121
LinearRegression_90,6.40380,2.53057,1.83102,0.92685
LinearRegression_91,8.78608,2.96413,2.14908,0.89908
LinearRegression_92,10.32931,3.21392,2.28522,0.88923
LinearRegression_93,8.09641,2.84542,2.03393,0.90688
LinearRegression_94,7.82619,2.79753,1.87958,0.92077
LinearRegression_95,7.46425,2.73208,1.96433,0.91888
LinearRegression_96,8.24470,2.87136,2.01969,0.91406
LinearRegression_97,8.22081,2.86720,1.93688,0.91756
LinearRegression_98,8.12126,2.84978,1.95215,0.91870
LinearRegression_99,8.52736,2.92016,2.10351,0.90567
SVR_0,27.50844,5.24485,3.55730,0.71457
SVR_1,21.63228,4.65105,3.29195,0.76349
SVR_2,16.82086,4.10132,2.96467,0.79512
SVR_3,33.19854,5.76182,4.15411,0.67650
SVR_4,17.45184,4.17754,3.05903,0.78712
SVR_5,23.20722,4.81739,3.64557,0.74691
SVR_6,26.95546,5.19186,3.65970,0.71610
SVR_7,25.15360,5.01534,3.42637,0.72918
SVR_8,22.28369,4.72056,3.41528,0.75541
SVR_9,20.33078,4.50897,3.16134,0.76656
SVR_10,33.22364,5.76400,4.29986,0.68553
SVR_11,27.84148,5.27650,3.68231,0.71493
SVR_12,30.78181,5.54814,3.97463,0.69426
SVR_13,22.38229,4.73099,3.20611,0.73978
SVR_14,25.40656,5.04049,3.59948,0.72864
SVR_15,18.87234,4.34423,3.03894,0.78857
SVR_16,20.03815,4.47640,3.27830,0.76647
SVR_17,19.87245,4.45785,3.17711,0.77918
SVR_18,23.67410,4.86560,3.52416,0.74384
SVR_19,24.42130,4.94179,3.52929,0.73617
SVR_20,25.61343,5.06097,3.55321,0.73604
SVR_21,30.57354,5.52933,3.99541,0.67981
SVR_22,26.64177,5.16157,3.55756,0.73242
SVR_23,20.68788,4.54839,3.30536,0.76598
SVR_24,22.89937,4.78533,3.50546,0.76136
SVR_25,23.73175,4.87152,3.52746,0.74464
SVR_26,25.62754,5.06237,3.54916,0.73113
SVR_27,28.80875,5.36738,3.81900,0.70414
SVR_28,25.88855,5.08808,3.81572,0.70881
SVR_29,30.52251,5.52472,3.82551,0.70276
SVR_30,23.40246,4.83761,3.55116,0.74730
SVR_31,23.95037,4.89391,3.60723,0.73599
SVR_32,22.00144,4.69057,3.30993,0.73701
SVR_33,21.07665,4.59093,3.41444,0.75867
SVR_34,25.19728,5.01969,3.53382,0.74461
SVR_35,25.95110,5.09422,3.63692,0.74049
SVR_36,27.40273,5.23476,3.70500,0.73398
SVR_37,18.90357,4.34782,3.14844,0.78169
SVR_38,25.72183,5.07167,3.55253,0.74082
SVR_39,23.42106,4.83953,3.55110,0.75124
SVR_40,33.96544,5.82799,4.07293,0.67492
SVR_41,26.02099,5.10108,3.72647,0.73150
SVR_42,22.40470,4.73336,3.36630,0.75163
SVR_43,20.63841,4.54295,3.23638,0.76455
SVR_44,29.96392,5.47393,3.87538,0.69453
SVR_45,21.58242,4.64569,3.25569,0.75995
SVR_46,28.00423,5.29190,3.72329,0.71031
SVR_47,30.54525,5.52678,3.97385,0.67148
SVR_48,13.41615,3.66281,2.67267,0.80620
SVR_49,25.00599,5.00060,3.61752,0.74372
SVR_50,24.25995,4.92544,3.42408,0.73962
SVR_51,19.92676,4.46394,3.25389,0.76871
SVR_52,24.56755,4.95657,3.67541,0.74733
SVR_53,21.44258,4.63061,3.39523,0.76610
SVR_54,26.25966,5.12442,3.67613,0.73387
SVR_55,29.89378,5.46752,3.97432,0.70626
SVR_56,22.73264,4.76788,3.29587,0.74299
SVR_57,30.62805,5.53426,4.04306,0.69675
SVR_58,18.66708,4.32054,3.05572,0.77554
SVR_59,24.61925,4.96178,3.56116,0.74093
SVR_60,20.62256,4.54121,3.21561,0.75162
SVR_61,22.87320,4.78259,3.54197,0.73706
SVR_62,27.20092,5.21545,3.60119,0.73028
SVR_63,25.43449,5.04326,3.55554,0.72704
SVR_64,28.98990,5.38423,3.69977,0.72205
SVR_65,23.35308,4.83250,3.34319,0.75223
SVR_66,17.21096,4.14861,2.95288,0.78894
SVR_67,27.51769,5.24573,3.80619,0.71708
SVR_68,24.78339,4.97829,3.50710,0.73519
SVR_69,32.47886,5.69902,4.07796,0.67183
SVR_70,22.96391,4.79207,3.39225,0.75399
SVR_71,18.04665,4.24813,2.97041,0.77748
SVR_72,23.68754,4.86698,3.33794,0.74153
SVR_73,33.07436,5.75103,4.05653,0.65388
SVR_74,22.49186,4.74256,3.27650,0.76607
SVR_75,24.54954,4.95475,3.64966,0.74786
SVR_76,21.94641,4.68470,3.43852,0.74610
SVR_77,25.34814,5.03469,3.62079,0.72818
SVR_78,25.42050,5.04187,3.63023,0.73040
SVR_79,27.12440,5.20811,3.64344,0.73044
SVR_80,22.69909,4.76436,3.47844,0.75686
SVR_81,20.54766,4.53295,3.23898,0.76280
SVR_82,20.49462,4.52710,3.25395,0.77692
SVR_83,20.47042,4.52442,3.26096,0.75993
SVR_84,19.43186,4.40816,3.17623,0.77201
SVR_85,28.15487,5.30612,3.69568,0.70083
SVR_86,21.80519,4.66960,3.29484,0.75575
SVR_87,23.45266,4.84279,3.43655,0.73682
SVR_88,26.25388,5.12385,3.69323,0.72068
SVR_89,26.46932,5.14483,3.78187,0.72248
SVR_90,19.50005,4.41589,3.18800,0.78065
SVR_91,23.52696,4.85046,3.58278,0.73217
SVR_92,27.43521,5.23786,3.77585,0.70589
SVR_93,21.04028,4.58697,3.20459,0.76078
SVR_94,27.41961,5.23637,3.82341,0.72548
SVR_95,25.37197,5.03706,3.66179,0.72794
SVR_96,23.17834,4.81439,3.51436,0.76045
SVR_97,27.94927,5.28671,3.76010,0.72250
SVR_98,29.14231,5.39836,3.86649,0.71164
SVR_99,23.39724,4.83707,3.51610,0.74273
GaussianProcessRegressor_0,1.12153,1.05902,0.62113,0.98821
GaussianProcessRegressor_1,0.51865,0.72018,0.49942,0.99413
GaussianProcessRegressor_2,0.58237,0.76313,0.52386,0.99282
GaussianProcessRegressor_3,0.59608,0.77206,0.53602,0.99409
GaussianProcessRegressor_4,0.57244,0.75660,0.47408,0.99277
GaussianProcessRegressor_5,0.45137,0.67184,0.48285,0.99504
GaussianProcessRegressor_6,1.51358,1.23028,0.57582,0.98349
GaussianProcessRegressor_7,0.50520,0.71077,0.49416,0.99455
GaussianProcessRegressor_8,1.17549,1.08420,0.59472,0.98699
GaussianProcessRegressor_9,0.98077,0.99034,0.57912,0.98876
GaussianProcessRegressor_10,0.38545,0.62084,0.43625,0.99634
GaussianProcessRegressor_11,0.74818,0.86497,0.52221,0.99234
GaussianProcessRegressor_12,1.24380,1.11526,0.56496,0.98738
GaussianProcessRegressor_13,0.86312,0.92904,0.64608,0.98979
GaussianProcessRegressor_14,0.43288,0.65794,0.43970,0.99529
GaussianProcessRegressor_15,0.42777,0.65404,0.47669,0.99516
GaussianProcessRegressor_16,0.56285,0.75023,0.53569,0.99335
GaussianProcessRegressor_17,0.45125,0.67175,0.45438,0.99499
GaussianProcessRegressor_18,0.82535,0.90849,0.52793,0.99078
GaussianProcessRegressor_19,0.47925,0.69228,0.47240,0.99452
GaussianProcessRegressor_20,0.56129,0.74919,0.47393,0.99415
GaussianProcessRegressor_21,0.94814,0.97372,0.52281,0.98970
GaussianProcessRegressor_22,0.54370,0.73736,0.50079,0.99444
GaussianProcessRegressor_23,0.63039,0.79397,0.55113,0.99284
GaussianProcessRegressor_24,0.56558,0.75205,0.52842,0.99407
GaussianProcessRegressor_25,0.65648,0.81023,0.56360,0.99279
GaussianProcessRegressor_26,0.65184,0.80736,0.53675,0.99285
GaussianProcessRegressor_27,0.64362,0.80226,0.51874,0.99325
GaussianProcessRegressor_28,2.09160,1.44624,0.72501,0.97607
GaussianProcessRegressor_29,0.35248,0.59370,0.39928,0.99652
