train_label, mse, rmse, mae, r2
LinearRegression_0,8.15039,2.85489,1.97993,0.91469
LinearRegression_1,8.28610,2.87856,2.02552,0.89775
LinearRegression_2,9.05863,3.00976,2.03825,0.90616
LinearRegression_3,9.04175,3.00695,2.20202,0.90050
LinearRegression_4,8.29439,2.88000,2.02061,0.90155
LinearRegression_5,9.88924,3.14472,2.09276,0.90803
LinearRegression_6,9.53824,3.08840,2.13650,0.89545
LinearRegression_7,9.56404,3.09258,2.14578,0.89317
LinearRegression_8,8.00144,2.82868,2.08376,0.90676
LinearRegression_9,8.91336,2.98553,2.09169,0.91089
LinearRegression_10,9.34192,3.05646,1.98897,0.90891
LinearRegression_11,9.23574,3.03904,2.18547,0.89495
LinearRegression_12,8.39618,2.89762,1.99502,0.91184
LinearRegression_13,9.09265,3.01540,2.14206,0.90755
LinearRegression_14,8.96279,2.99379,2.08088,0.91089
LinearRegression_15,11.17110,3.34232,2.36508,0.88665
LinearRegression_16,9.16785,3.02785,2.14231,0.89168
LinearRegression_17,9.08327,3.01385,2.12953,0.90745
LinearRegression_18,9.71154,3.11633,2.22352,0.89597
LinearRegression_19,9.28936,3.04785,2.11155,0.90884
LinearRegression_20,9.92003,3.14961,2.23074,0.90179
LinearRegression_21,8.92042,2.98671,2.11598,0.89726
LinearRegression_22,11.08094,3.32880,2.40923,0.87820
LinearRegression_23,9.27551,3.04557,2.12162,0.90119
LinearRegression_24,8.60031,2.93263,2.03976,0.91335
LinearRegression_25,8.08341,2.84313,1.97774,0.91112
LinearRegression_26,9.20769,3.03442,2.09228,0.90365
LinearRegression_27,8.90657,2.98439,2.06769,0.91069
LinearRegression_28,10.61853,3.25861,2.29305,0.88118
LinearRegression_29,10.32106,3.21264,2.30371,0.88431
LinearRegression_30,9.09274,3.01542,2.13607,0.90573
LinearRegression_31,10.74657,3.27820,2.36989,0.89164
LinearRegression_32,9.17048,3.02828,2.12125,0.88974
LinearRegression_33,10.75516,3.27951,2.35548,0.88091
LinearRegression_34,10.80740,3.28746,2.23871,0.89113
LinearRegression_35,8.31932,2.88432,2.06544,0.91539
