train_label, mse, rmse, mae, r2
LinearRegression_0,9.78132,3.12751,2.12897,0.90898
LinearRegression_1,7.92967,2.81597,1.93363,0.90904
LinearRegression_2,8.77341,2.96199,2.14729,0.90693
LinearRegression_3,11.88453,3.44740,2.33347,0.88635
LinearRegression_4,9.73268,3.11972,2.18112,0.89937
LinearRegression_5,11.35375,3.36953,2.32090,0.88963
LinearRegression_6,8.58493,2.93001,2.03926,0.90310
LinearRegression_7,9.36835,3.06078,2.16948,0.89943
LinearRegression_8,9.65492,3.10724,2.22701,0.89862
LinearRegression_9,7.95616,2.82067,2.04196,0.91316
LinearRegression_10,10.79697,3.28587,2.27743,0.89345
LinearRegression_11,10.17296,3.18951,2.26499,0.89764
LinearRegression_12,10.59258,3.25462,2.34031,0.89639
LinearRegression_13,10.50432,3.24104,2.22895,0.90562
LinearRegression_14,10.41088,3.22659,2.33980,0.88818
LinearRegression_15,11.25844,3.35536,2.33585,0.88562
LinearRegression_16,8.96044,2.99340,2.14474,0.90152
LinearRegression_17,9.68824,3.11259,2.20593,0.89993
LinearRegression_18,11.20154,3.34687,2.30737,0.89099
LinearRegression_19,10.42990,3.22954,2.32655,0.88858
LinearRegression_20,9.86248,3.14046,2.18070,0.89931
LinearRegression_21,10.65957,3.26490,2.28146,0.88441
LinearRegression_22,10.57832,3.25243,2.33216,0.90190
LinearRegression_23,10.30264,3.20977,2.26654,0.88614
LinearRegression_24,6.70589,2.58957,1.82346,0.92576
LinearRegression_25,7.04703,2.65462,1.84159,0.91990
LinearRegression_26,9.37791,3.06234,2.12683,0.90242
LinearRegression_27,8.31556,2.88367,1.99507,0.90850
LinearRegression_28,10.90229,3.30186,2.39203,0.89039
LinearRegression_29,9.67026,3.10970,2.19844,0.89918
LinearRegression_30,10.23762,3.19963,2.24803,0.89670
LinearRegression_31,8.55486,2.92487,2.00050,0.90542
LinearRegression_32,10.51481,3.24266,2.20056,0.89830
LinearRegression_33,9.11480,3.01907,2.07257,0.89216
LinearRegression_34,9.85812,3.13976,2.19026,0.89588
LinearRegression_35,9.35891,3.05923,2.20135,0.90672
LinearRegression_36,10.12421,3.18186,2.24954,0.88353
LinearRegression_37,10.31279,3.21135,2.20630,0.89087
LinearRegression_38,9.11894,3.01976,2.12465,0.90742
LinearRegression_39,11.02986,3.32112,2.37027,0.88441
LinearRegression_40,10.62515,3.25962,2.36503,0.87251
LinearRegression_41,8.95793,2.99298,2.11721,0.90822
LinearRegression_42,9.47208,3.07767,2.26625,0.90297
LinearRegression_43,10.12772,3.18241,2.22945,0.89855
LinearRegression_44,8.28402,2.87820,2.01508,0.90904
LinearRegression_45,11.47913,3.38809,2.41614,0.87599
LinearRegression_46,8.14019,2.85310,1.94291,0.90008
LinearRegression_47,10.82667,3.29039,2.31425,0.89539
LinearRegression_48,11.33395,3.36659,2.26948,0.88602
LinearRegression_49,9.65894,3.10788,2.15842,0.90799
LinearRegression_50,9.22082,3.03658,2.11620,0.91111
LinearRegression_51,10.43383,3.23014,2.35749,0.88776
LinearRegression_52,8.48804,2.91342,2.02304,0.91223
LinearRegression_53,10.00284,3.16273,2.30576,0.90142
LinearRegression_54,10.57662,3.25217,2.19885,0.88952
LinearRegression_55,9.28422,3.04700,2.11952,0.91326
LinearRegression_56,9.55758,3.09153,2.21950,0.89528
LinearRegression_57,8.40349,2.89888,2.08113,0.91302
LinearRegression_58,7.87965,2.80707,2.05469,0.91017
LinearRegression_59,9.41365,3.06817,2.10397,0.91004
LinearRegression_60,11.17276,3.34257,2.32931,0.88073
LinearRegression_61,9.68153,3.11152,2.14474,0.90179
LinearRegression_62,8.09914,2.84590,1.97128,0.91214
LinearRegression_63,10.12021,3.18123,2.27882,0.88883
LinearRegression_64,7.90083,2.81084,2.00499,0.91645
LinearRegression_65,9.24458,3.04049,2.17063,0.89783
LinearRegression_66,8.58933,2.93076,2.10997,0.90502
LinearRegression_67,12.73576,3.56872,2.51088,0.88516
LinearRegression_68,9.37916,3.06254,2.17943,0.89961
LinearRegression_69,9.35390,3.05842,2.23787,0.90617
LinearRegression_70,7.80633,2.79398,1.95798,0.92043
LinearRegression_71,9.73727,3.12046,2.16880,0.89892
LinearRegression_72,9.26476,3.04381,2.16233,0.89697
LinearRegression_73,8.71418,2.95198,2.11036,0.90802
LinearRegression_74,9.82611,3.13466,2.23405,0.89471
LinearRegression_75,10.50977,3.24188,2.33778,0.89246
LinearRegression_76,10.13796,3.18402,2.21729,0.89437
LinearRegression_77,9.06939,3.01154,2.05040,0.90376
LinearRegression_78,8.48532,2.91296,2.11848,0.90744
LinearRegression_79,9.81428,3.13278,2.25303,0.90313
LinearRegression_80,9.93184,3.15148,2.27012,0.89054
LinearRegression_81,9.24000,3.03974,2.16227,0.89899
LinearRegression_82,7.84927,2.80166,1.99008,0.91369
LinearRegression_83,10.62634,3.25981,2.27756,0.88864
LinearRegression_84,8.91024,2.98500,2.08377,0.90553
LinearRegression_85,10.30504,3.21015,2.30737,0.88963
LinearRegression_86,11.13918,3.33754,2.34592,0.88192
LinearRegression_87,9.65816,3.10776,2.12130,0.90242
LinearRegression_88,11.39761,3.37604,2.45834,0.87000
LinearRegression_89,8.45585,2.90789,2.04839,0.90783
LinearRegression_90,10.29379,3.20839,2.24565,0.89346
LinearRegression_91,8.53673,2.92177,2.02023,0.91320
LinearRegression_92,8.32749,2.88574,2.06679,0.90828
LinearRegression_93,12.25375,3.50054,2.49512,0.87876
LinearRegression_94,9.69144,3.11311,2.21080,0.89387
LinearRegression_95,9.50513,3.08304,2.25675,0.89181
LinearRegression_96,9.40313,3.06645,2.18204,0.89969
LinearRegression_97,8.94850,2.99140,2.08216,0.90827
LinearRegression_98,11.36023,3.37049,2.33358,0.88342
LinearRegression_99,11.42892,3.38067,2.39818,0.89293
SVR_0,35.20513,5.93339,4.22316,0.67492
SVR_1,23.81608,4.88017,3.41843,0.72863
SVR_2,30.93115,5.56158,4.02045,0.67336
SVR_3,36.71518,6.05930,4.21810,0.65104
SVR_4,32.75732,5.72340,4.12904,0.66668
SVR_5,35.13358,5.92736,4.25076,0.66456
SVR_6,25.37915,5.03777,3.41851,0.71600
SVR_7,29.18027,5.40188,3.87133,0.68913
SVR_8,31.81084,5.64011,4.15844,0.67010
SVR_9,25.41479,5.04131,3.57683,0.72487
SVR_10,33.26431,5.76752,4.07331,0.67542
SVR_11,28.35571,5.32501,3.84829,0.71735
SVR_12,32.56807,5.70684,4.20592,0.68276
SVR_13,36.63501,6.05269,4.53919,0.67412
SVR_14,28.85446,5.37163,3.83548,0.69408
SVR_15,30.93926,5.56231,4.00989,0.68849
SVR_16,27.82251,5.27470,3.72492,0.69643
SVR_17,31.64919,5.62576,3.92586,0.67537
SVR_18,35.77470,5.98120,4.31082,0.65347
SVR_19,28.28069,5.31796,3.72418,0.69999
SVR_20,30.31928,5.50629,3.85466,0.69289
SVR_21,27.79556,5.27215,3.69779,0.70018
SVR_22,35.13838,5.92776,4.00902,0.67583
SVR_23,30.07234,5.48383,3.95407,0.67034
SVR_24,22.07953,4.69889,3.40702,0.75763
SVR_25,21.81397,4.67054,3.27927,0.75491
SVR_26,26.20492,5.11907,3.71627,0.73027
SVR_27,28.67933,5.35531,3.94653,0.68801
SVR_28,32.18406,5.67310,3.90820,0.67932
SVR_29,26.01404,5.10040,3.73593,0.73058
SVR_30,32.13721,5.66897,4.19901,0.67937
SVR_31,28.15362,5.30600,3.94661,0.69096
SVR_32,29.64133,5.44439,3.78402,0.71273
SVR_33,24.94967,4.99496,3.56475,0.70737
SVR_34,30.26527,5.50139,3.92443,0.68340
SVR_35,29.71594,5.45123,4.02626,0.70604
SVR_36,22.71961,4.76651,3.36234,0.73941
SVR_37,27.44942,5.23922,3.80956,0.71185
SVR_38,29.22429,5.40595,3.80122,0.70601
SVR_39,30.43763,5.51703,4.05935,0.68385
SVR_40,24.60251,4.96009,3.52080,0.70522
SVR_41,27.06681,5.20258,3.75543,0.72734
SVR_42,28.35538,5.32498,4.02746,0.71208
SVR_43,30.37781,5.51161,3.84269,0.69852
SVR_44,23.68152,4.86637,3.66150,0.74405
SVR_45,29.30791,5.41368,3.85700,0.68465
SVR_46,21.50111,4.63693,3.41108,0.73797
SVR_47,34.65634,5.88696,4.23027,0.66904
SVR_48,32.14157,5.66935,3.89017,0.67799
SVR_49,35.36624,5.94695,4.29803,0.66625
SVR_50,30.73568,5.54398,4.08354,0.70752
SVR_51,28.95294,5.38079,3.90052,0.69356
SVR_52,29.03499,5.38841,3.89299,0.70440
SVR_53,29.88639,5.46684,3.79305,0.70715
SVR_54,30.50158,5.52282,3.89604,0.68402
SVR_55,33.12548,5.75547,4.06730,0.69419
SVR_56,29.47974,5.42952,4.11672,0.68009
SVR_57,28.54690,5.34293,3.88449,0.70605
SVR_58,25.28660,5.02858,3.63559,0.71546
SVR_59,32.13096,5.66842,3.92686,0.69473
SVR_60,29.98260,5.47564,3.83342,0.68091
SVR_61,31.29965,5.59461,4.08585,0.68474
SVR_62,23.61945,4.85999,3.50355,0.74593
SVR_63,25.72056,5.07154,3.59074,0.71963
SVR_64,24.41663,4.94132,3.60330,0.74330
SVR_65,24.46886,4.94660,3.72513,0.73088
SVR_66,25.06658,5.00665,3.66200,0.72421
SVR_67,37.92035,6.15795,4.37722,0.65936
SVR_68,24.93538,4.99353,3.60622,0.73552
SVR_69,31.35180,5.59927,4.15002,0.68839
SVR_70,29.77997,5.45710,4.02522,0.70118
SVR_71,27.55301,5.24910,3.76989,0.71658
SVR_72,26.17405,5.11606,3.80199,0.71173
SVR_73,25.60258,5.05990,3.55152,0.73102
SVR_74,26.97414,5.19366,3.76187,0.71280
SVR_75,32.03490,5.65994,3.89897,0.67520
SVR_76,29.19341,5.40309,3.78632,0.70051
SVR_77,27.52087,5.24603,3.81144,0.71094
SVR_78,23.87236,4.88593,3.60155,0.74303
SVR_79,31.71510,5.63162,4.07999,0.68940
SVR_80,26.65252,5.16261,3.67458,0.70896
SVR_81,27.18761,5.21417,3.74499,0.70538
SVR_82,23.49136,4.84679,3.50965,0.74451
SVR_83,30.38660,5.51240,3.82735,0.68386
SVR_84,23.50401,4.84809,3.45761,0.75237
SVR_85,29.09718,5.39418,3.93777,0.69100
SVR_86,31.48276,5.61095,3.93984,0.66766
SVR_87,31.86696,5.64508,4.08800,0.68052
SVR_88,24.87720,4.98770,3.60244,0.71901
SVR_89,27.07094,5.20297,3.72094,0.70939
SVR_90,29.76262,5.45551,3.94576,0.69388
SVR_91,26.60683,5.15818,3.62920,0.73185
SVR_92,25.31699,5.03160,3.53065,0.72410
SVR_93,34.79722,5.89892,4.29453,0.65793
SVR_94,26.64501,5.16188,3.87398,0.71031
SVR_95,21.08155,4.59147,3.42196,0.76232
SVR_96,28.73186,5.36021,3.78489,0.69675
SVR_97,28.47756,5.33644,3.64745,0.71066
SVR_98,33.23494,5.76498,4.06825,0.66068
SVR_99,35.17670,5.93099,4.01452,0.67225
GaussianProcessRegressor_0,1.47489,1.21445,0.72871,0.98610
GaussianProcessRegressor_1,0.79679,0.89263,0.58518,0.99082
GaussianProcessRegressor_2,1.14068,1.06803,0.59297,0.98792
GaussianProcessRegressor_3,1.37121,1.17099,0.61873,0.98682
GaussianProcessRegressor_4,1.40202,1.18407,0.61393,0.98481
GaussianProcessRegressor_5,1.26491,1.12468,0.66479,0.98760
GaussianProcessRegressor_6,2.75964,1.66122,0.72358,0.96787
GaussianProcessRegressor_7,1.05199,1.02567,0.57550,0.98866
GaussianProcessRegressor_8,3.29183,1.81434,0.89815,0.96557
GaussianProcessRegressor_9,1.60315,1.26616,0.67668,0.98209
GaussianProcessRegressor_10,1.73841,1.31849,0.63687,0.98246
GaussianProcessRegressor_11,1.00831,1.00415,0.56484,0.98960
GaussianProcessRegressor_12,0.96980,0.98478,0.62520,0.99050
GaussianProcessRegressor_13,2.78063,1.66752,0.80934,0.97447
GaussianProcessRegressor_14,0.87076,0.93315,0.56002,0.99044
GaussianProcessRegressor_15,1.17889,1.08577,0.63784,0.98775
GaussianProcessRegressor_16,1.60693,1.26765,0.72817,0.98196
GaussianProcessRegressor_17,1.42693,1.19454,0.69095,0.98496
GaussianProcessRegressor_18,1.39425,1.18078,0.67217,0.98638
GaussianProcessRegressor_19,2.90044,1.70307,0.80554,0.96767
GaussianProcessRegressor_20,1.24995,1.11801,0.61910,0.98706
GaussianProcessRegressor_21,1.25572,1.12059,0.57725,0.98589
GaussianProcessRegressor_22,1.17120,1.08222,0.56261,0.98865
GaussianProcessRegressor_23,0.73072,0.85482,0.53215,0.99158
GaussianProcessRegressor_24,0.42727,0.65366,0.46071,0.99527
GaussianProcessRegressor_25,0.76724,0.87592,0.58887,0.99122
GaussianProcessRegressor_26,1.20992,1.09996,0.58138,0.98706
GaussianProcessRegressor_27,1.07983,1.03915,0.60159,0.98770
GaussianProcessRegressor_28,0.72727,0.85280,0.56386,0.99261
GaussianProcessRegressor_29,1.47665,1.21517,0.62107,0.98399
GaussianProcessRegressor_30,2.63460,1.62315,0.74908,0.97263
GaussianProcessRegressor_31,2.43824,1.56149,0.74222,0.97169
GaussianProcessRegressor_32,3.24407,1.80113,0.70863,0.96862
GaussianProcessRegressor_33,1.41898,1.19121,0.64003,0.98286
GaussianProcessRegressor_34,0.84061,0.91685,0.58826,0.99103
GaussianProcessRegressor_35,1.46629,1.21090,0.68278,0.98490
GaussianProcessRegressor_36,1.00278,1.00139,0.52245,0.98844
GaussianProcessRegressor_37,1.83211,1.35355,0.73162,0.98009
GaussianProcessRegressor_38,1.20068,1.09575,0.66236,0.98773
GaussianProcessRegressor_39,2.08906,1.44536,0.82875,0.97782
GaussianProcessRegressor_40,1.34113,1.15807,0.66547,0.98387
GaussianProcessRegressor_41,1.55128,1.24551,0.65326,0.98346
GaussianProcessRegressor_42,1.19250,1.09201,0.63063,0.98741
GaussianProcessRegressor_43,0.79570,0.89202,0.58640,0.99188
GaussianProcessRegressor_44,1.05093,1.02515,0.61304,0.98813
GaussianProcessRegressor_45,1.10187,1.04970,0.67436,0.98791
GaussianProcessRegressor_46,1.75735,1.32565,0.73336,0.97800
GaussianProcessRegressor_47,1.23139,1.10968,0.64341,0.98788
GaussianProcessRegressor_48,1.09065,1.04434,0.65165,0.98903
GaussianProcessRegressor_49,1.61660,1.27146,0.68170,0.98399
