train_label, mse, rmse, mae, r2
LinearRegression_0,9.21363,3.03540,2.17052,0.90031
LinearRegression_1,10.93535,3.30686,2.33485,0.88438
LinearRegression_2,8.38310,2.89536,2.01153,0.91861
LinearRegression_3,10.22408,3.19751,2.30820,0.89944
LinearRegression_4,10.03368,3.16760,2.16711,0.90626
LinearRegression_5,8.32541,2.88538,2.08810,0.90148
LinearRegression_6,10.62824,3.26010,2.25041,0.89482
LinearRegression_7,11.74220,3.42669,2.44299,0.87902
LinearRegression_8,10.12301,3.18167,2.25492,0.89518
LinearRegression_9,9.58653,3.09621,2.13444,0.90438
SVR_0,30.39142,5.51284,3.81627,0.67488
SVR_1,29.41077,5.42317,3.74486,0.69065
SVR_2,29.61664,5.44212,4.02557,0.71832
SVR_3,33.93473,5.82535,4.35339,0.66929
SVR_4,35.72052,5.97666,4.34427,0.66903
SVR_5,20.60048,4.53878,3.39300,0.75920
SVR_6,31.20345,5.58601,3.92803,0.69261
SVR_7,32.55532,5.70573,4.20282,0.66621
SVR_8,30.81704,5.55131,3.97423,0.68231
SVR_9,29.68739,5.44861,3.82671,0.70636
GaussianProcessRegressor_0,1.97266,1.40451,0.68164,0.97867
GaussianProcessRegressor_1,1.28162,1.13209,0.57122,0.98631
GaussianProcessRegressor_2,1.66019,1.28848,0.72699,0.98292
GaussianProcessRegressor_3,0.93428,0.96658,0.62930,0.99063
GaussianProcessRegressor_4,1.52224,1.23379,0.68397,0.98509
GaussianProcessRegressor_5,0.87582,0.93585,0.60433,0.98965
GaussianProcessRegressor_6,3.78565,1.94567,0.86738,0.96227
GaussianProcessRegressor_7,2.36310,1.53724,0.72291,0.97533
GaussianProcessRegressor_8,0.97727,0.98857,0.53690,0.98958
GaussianProcessRegressor_9,5.07104,2.25190,0.83325,0.94909
MLPRegressor_0,33.04039,5.74808,4.47880,0.64967
MLPRegressor_1,22.20028,4.71172,3.59904,0.76587
MLPRegressor_2,17.92932,4.23430,3.17719,0.82734
MLPRegressor_3,21.01447,4.58415,3.50422,0.79317
MLPRegressor_4,27.88088,5.28023,4.16622,0.73748
MLPRegressor_5,13.31477,3.64894,2.88824,0.84362
MLPRegressor_6,30.74259,5.54460,4.42396,0.69752
MLPRegressor_7,20.11671,4.48517,3.59734,0.79384
MLPRegressor_8,17.18378,4.14533,3.39569,0.82009
MLPRegressor_9,15.31050,3.91286,3.07807,0.84757
RandomForestRegressor_0,1.96461,1.40165,0.71428,0.97718
RandomForestRegressor_1,2.10603,1.45122,0.75650,0.97716
RandomForestRegressor_2,1.89947,1.37821,0.71753,0.97986
RandomForestRegressor_3,2.00405,1.41565,0.77579,0.97911
RandomForestRegressor_4,2.25115,1.50038,0.75963,0.97719
RandomForestRegressor_5,1.25813,1.12167,0.57890,0.98429
RandomForestRegressor_6,1.85761,1.36294,0.71904,0.98128
RandomForestRegressor_7,1.86773,1.36665,0.71855,0.98028
RandomForestRegressor_8,2.28112,1.51034,0.79408,0.97508
RandomForestRegressor_9,2.10765,1.45177,0.72861,0.97835
,,,,
train_label, mse_mean, rmse_mean, mae_mean, r2_mean
LinearRegression,9.91952,3.14528,2.21631,0.89839
SVR,30.39377,5.50106,3.96092,0.69288
GaussianProcessRegressor,2.04439,1.36847,0.68579,0.97895
MLPRegressor,21.87337,4.62954,3.63088,0.77762
RandomForestRegressor,1.95976,1.39605,0.72629,0.97898
,,,,
train_label, mse_std, rmse_std, mae_std, r2_std
LinearRegression,1.02540,0.16356,0.12088,0.01056
SVR,3.79997,0.36351,0.27805,0.02739
GaussianProcessRegressor,1.30530,0.41434,0.10146,0.01286
MLPRegressor,6.30281,0.66388,0.52640,0.06210
RandomForestRegressor,0.27354,0.10396,0.05580,0.00248
