train_label, mse, rmse, mae, r2
LinearRegression_0,10.25561,3.20244,2.24821,0.89880
LinearRegression_1,9.44692,3.07358,2.17783,0.89459
LinearRegression_2,11.94461,3.45610,2.46910,0.87738
LinearRegression_3,8.59874,2.93236,2.02144,0.90767
LinearRegression_4,8.85969,2.97652,2.08372,0.91013
LinearRegression_5,9.73427,3.11998,2.24480,0.88909
LinearRegression_6,8.64183,2.93970,2.08966,0.90691
LinearRegression_7,8.86233,2.97697,2.09497,0.89691
LinearRegression_8,10.99344,3.31564,2.35472,0.87916
LinearRegression_9,10.38627,3.22277,2.30095,0.89592
SVR_0,31.64821,5.62567,4.09379,0.69028
SVR_1,25.55201,5.05490,3.79268,0.71629
SVR_2,32.31861,5.68495,4.05086,0.67026
SVR_3,24.16452,4.91574,3.52290,0.74347
SVR_4,26.58556,5.15612,3.72901,0.73425
SVR_5,22.66665,4.76095,3.44479,0.74181
SVR_6,28.93219,5.37886,3.94109,0.69009
SVR_7,22.22456,4.71429,3.45901,0.74305
SVR_8,26.77722,5.17467,3.63347,0.70641
SVR_9,29.63086,5.44342,3.84728,0.70517
GaussianProcessRegressor_0,0.82069,0.90592,0.60102,0.99178
GaussianProcessRegressor_1,1.86626,1.36611,0.74830,0.97878
GaussianProcessRegressor_2,0.91842,0.95834,0.58248,0.99044
GaussianProcessRegressor_3,0.66323,0.81439,0.51060,0.99271
GaussianProcessRegressor_4,0.92503,0.96178,0.56991,0.99052
GaussianProcessRegressor_5,2.04228,1.42908,0.66223,0.97672
GaussianProcessRegressor_6,0.96160,0.98061,0.60542,0.98944
GaussianProcessRegressor_7,1.76603,1.32892,0.74121,0.97882
GaussianProcessRegressor_8,0.79140,0.88961,0.52471,0.99122
GaussianProcessRegressor_9,0.86376,0.92939,0.56984,0.99117
MLPRegressor_0,20.78014,4.55852,3.60889,0.79610
MLPRegressor_1,28.15521,5.30615,4.19846,0.68659
MLPRegressor_2,23.82529,4.88112,3.78318,0.75771
MLPRegressor_3,21.25447,4.61026,3.51446,0.77475
MLPRegressor_4,21.86082,4.67556,3.60189,0.77910
MLPRegressor_5,15.69360,3.96151,3.20120,0.82125
MLPRegressor_6,16.54228,4.06722,3.20195,0.82202
MLPRegressor_7,22.48333,4.74166,3.70650,0.73762
MLPRegressor_8,22.55758,4.74948,3.69752,0.75298
MLPRegressor_9,29.50541,5.43189,4.24248,0.70629
RandomForestRegressor_0,1.93743,1.39192,0.77832,0.98034
RandomForestRegressor_1,1.82965,1.35264,0.72930,0.97884
RandomForestRegressor_2,2.02670,1.42362,0.77410,0.97844
RandomForestRegressor_3,1.33016,1.15333,0.63780,0.98498
RandomForestRegressor_4,1.63525,1.27877,0.63087,0.98262
RandomForestRegressor_5,1.68724,1.29894,0.68734,0.98076
RandomForestRegressor_6,2.27472,1.50822,0.81400,0.97449
RandomForestRegressor_7,1.53619,1.23943,0.63989,0.98136
RandomForestRegressor_8,1.92634,1.38793,0.71938,0.97845
RandomForestRegressor_9,1.38708,1.17774,0.62593,0.98546
,,,,
train_label, mse_mean, rmse_mean, mae_mean, r2_mean
LinearRegression,9.77237,3.12161,2.20854,0.89566
SVR,27.05004,5.19096,3.75149,0.71411
GaussianProcessRegressor,1.16187,1.05641,0.61157,0.98716
MLPRegressor,22.26581,4.69834,3.67565,0.76344
RandomForestRegressor,1.75708,1.32125,0.70369,0.98057
,,,,
train_label, mse_std, rmse_std, mae_std, r2_std
LinearRegression,1.06038,0.16718,0.13388,0.01069
SVR,3.35356,0.32247,0.22359,0.02467
GaussianProcessRegressor,0.48815,0.21414,0.07764,0.00601
MLPRegressor,4.11106,0.43755,0.33060,0.04265
RandomForestRegressor,0.28191,0.10661,0.06605,0.00312
